run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_25,full_addr_type_token,0.812,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_26,full_addr_type_token,0.811,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_27,full_addr_type_token,0.803,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_28,full_addr_type_token,0.809,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_29,full_addr_type_token,0.8,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_00,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_01,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_02,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_03,no_token,0.97,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_04,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_05,no_token,0.97,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_06,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_07,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_08,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_09,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
